name,player_link,position,age,nation,club,league,matches,goals,assists,points(goals+assists),value
Zakaria Eddahchouri,https://www.transfermarkt.com/zakaria-eddahchouri/profil/spieler/519651,Centre-Forward,24,"Netherlands, Morocco",,,41,21,2,23,€800k
Moise Kean,https://www.transfermarkt.com/moise-kean/profil/spieler/364135,Centre-Forward,24,"Italy, Cote d'Ivoire",,,33,20,3,23,€50.00m
Matej Simon,https://www.transfermarkt.com/matej-simon/profil/spieler/688261,Centre-Forward,24,Czech Republic,,,34,19,4,23,-
Budu Zivzivadze,https://www.transfermarkt.com/budu-zivzivadze/profil/spieler/187097,Centre-Forward,30,Georgia,,,35,16,7,23,€2.00m
Mirlind Daku,https://www.transfermarkt.com/mirlind-daku/profil/spieler/521872,Centre-Forward,26,"Albania, Kosovo",,,29,15,8,23,€8.00m
Isac Lidberg,https://www.transfermarkt.com/isac-lidberg/profil/spieler/322073,Centre-Forward,25,Sweden,,,31,15,8,23,€4.00m
Sietse Brandsma,https://www.transfermarkt.com/sietse-brandsma/profil/spieler/685438,Centre-Forward,27,Netherlands,,,36,14,9,23,-
Fatih Kaya,https://www.transfermarkt.com/fatih-kaya/profil/spieler/368825,Centre-Forward,24,"Germany, Türkiye",,,35,20,2,22,€700k
Rilind Nivokazi,https://www.transfermarkt.com/rilind-nivokazi/profil/spieler/396822,Centre-Forward,24,"Kosovo, Italy",,,38,19,3,22,€500k
Clayton,https://www.transfermarkt.com/clayton/profil/spieler/733579,Centre-Forward,25,Brazil,,,37,18,4,22,€5.00m
Jean-Philippe Krasso,https://www.transfermarkt.com/jean-philippe-krasso/profil/spieler/358515,Centre-Forward,26,"Cote d'Ivoire, France",,,31,17,5,22,€5.00m
Timothé Nkada,https://www.transfermarkt.com/timothe-nkada/profil/spieler/522788,Centre-Forward,24,"France, Cameroon",,,32,17,5,22,€2.50m
Ferran Torres,https://www.transfermarkt.com/ferran-torres/profil/spieler/398184,Centre-Forward,24,Spain,,,34,16,6,22,€40.00m
Ermedin Demirovic,https://www.transfermarkt.com/ermedin-demirovic/profil/spieler/335457,Centre-Forward,26,Bosnia-Herzegovina,,,41,16,6,22,€22.00m
Mohamed Amoura,https://www.transfermarkt.com/mohamed-amoura/profil/spieler/746910,Centre-Forward,24,Algeria,,,34,10,12,22,€32.00m
Ali Sowe,https://www.transfermarkt.com/ali-sowe/profil/spieler/229817,Centre-Forward,30,"The Gambia, Italy",,,40,19,2,21,€1.90m
Sam Smith,https://www.transfermarkt.com/sam-smith/profil/spieler/424885,Centre-Forward,26,England,,,44,18,3,21,€1.00m
Martin Sedlak,https://www.transfermarkt.com/martin-sedlak/profil/spieler/584290,Centre-Forward,24,Czech Republic,,,32,18,3,21,-
Jean-Philippe Mateta,https://www.transfermarkt.com/jean-philippe-mateta/profil/spieler/420002,Centre-Forward,27,"France, DR Congo",,,46,17,4,21,€30.00m
Mattia Bortolussi,https://www.transfermarkt.com/mattia-bortolussi/profil/spieler/269870,Centre-Forward,28,Italy,,,39,17,4,21,€600k
Marcus Thuram,https://www.transfermarkt.com/marcus-thuram/profil/spieler/318528,Centre-Forward,26,"France, Guadeloupe",,,34,14,7,21,€75.00m
Samy Baghdadi,https://www.transfermarkt.com/samy-baghdadi/profil/spieler/511454,Centre-Forward,26,"France, Algeria",,,33,14,7,21,€400k
Kyle Wootton,https://www.transfermarkt.com/kyle-wootton/profil/spieler/334721,Centre-Forward,27,England,,,49,13,8,21,€500k
Loïs Openda,https://www.transfermarkt.com/lois-openda/profil/spieler/368887,Centre-Forward,24,"Belgium, Morocco",,,37,12,9,21,€50.00m
Albian Ajeti,https://www.transfermarkt.com/albian-ajeti/profil/spieler/195906,Centre-Forward,27,Switzerland,,,36,12,9,21,€800k
Kasper Dolberg,https://www.transfermarkt.com/kasper-dolberg/profil/spieler/283196,Centre-Forward,26,Denmark,,,27,19,1,20,€13.00m
Kemal Rüzgar,https://www.transfermarkt.com/kemal-ruzgar/profil/spieler/196655,Centre-Forward,29,"Türkiye, Germany",,,32,19,1,20,€175k
Dmitriy Kamenshchikov,https://www.transfermarkt.com/dmitriy-kamenshchikov/profil/spieler/292835,Centre-Forward,25,Russia,,,39,18,2,20,€500k
Sebastian Grönning,https://www.transfermarkt.com/sebastian-gronning/profil/spieler/439456,Centre-Forward,27,Denmark,,,31,17,3,20,€700k
João Victor,https://www.transfermarkt.com/joao-victor/profil/spieler/943899,Centre-Forward,24,Brazil,,,24,17,3,20,-
Michael De Marchi,https://www.transfermarkt.com/michael-de-marchi/profil/spieler/445884,Centre-Forward,29,Italy,,,32,16,4,20,€225k
Pavel Vandas,https://www.transfermarkt.com/pavel-vandas/profil/spieler/522995,Centre-Forward,28,Czech Republic,,,28,16,4,20,-
Josh Sargent,https://www.transfermarkt.com/josh-sargent/profil/spieler/393325,Centre-Forward,24,United States,,,33,15,5,20,€16.00m
Sam Nombe,https://www.transfermarkt.com/sam-nombe/profil/spieler/452380,Centre-Forward,25,England,,,46,15,5,20,€700k
Mikel Oyarzabal,https://www.transfermarkt.com/mikel-oyarzabal/profil/spieler/351478,Centre-Forward,27,Spain,,,41,13,7,20,€25.00m
İbrahim Yılmaz,https://www.transfermarkt.com/ibrahim-yilmaz/profil/spieler/172565,Centre-Forward,30,Türkiye,,,32,13,7,20,€175k
Marvin Ducksch,https://www.transfermarkt.com/marvin-ducksch/profil/spieler/125103,Centre-Forward,30,Germany,,,36,9,11,20,€6.00m
Daniel Markl,https://www.transfermarkt.com/daniel-markl/profil/spieler/375357,Centre-Forward,24,Austria,,,30,19,0,19,-
Stan Braem,https://www.transfermarkt.com/stan-braem/profil/spieler/880610,Centre-Forward,25,Belgium,,,29,19,0,19,-
Ragnar Ache,https://www.transfermarkt.com/ragnar-ache/profil/spieler/416380,Centre-Forward,25,"Germany, Ghana",,,32,18,1,19,€7.00m
Facundo Lescano,https://www.transfermarkt.com/facundo-lescano/profil/spieler/256008,Centre-Forward,27,"Argentina, Italy",,,32,18,1,19,€900k
Jefté Betancor,https://www.transfermarkt.com/jefte-betancor/profil/spieler/198015,Centre-Forward,30,Spain,,,25,18,1,19,€750k
Warren Caddy,https://www.transfermarkt.com/warren-caddy/profil/spieler/369599,Centre-Forward,27,"Madagascar, France",,,30,18,1,19,€600k
Jiri Sodoma,https://www.transfermarkt.com/jiri-sodoma/profil/spieler/283627,Centre-Forward,29,Czech Republic,,,30,17,2,19,-
Adrián Fuentes,https://www.transfermarkt.com/adrian-fuentes/profil/spieler/597083,Centre-Forward,27,Spain,,,36,16,3,19,€400k
Atabey Çiçek,https://www.transfermarkt.com/atabey-cicek/profil/spieler/204180,Centre-Forward,28,Türkiye,,,31,16,3,19,€200k
Lex-Tyger Lobinger,https://www.transfermarkt.com/lex-tyger-lobinger/profil/spieler/378874,Centre-Forward,25,Germany,,,37,15,4,19,€350k
Jørgen Strand Larsen,https://www.transfermarkt.com/jorgen-strand-larsen/profil/spieler/429983,Centre-Forward,24,Norway,,,38,14,5,19,€30.00m
Dame Gueye,https://www.transfermarkt.com/dame-gueye/profil/spieler/422711,Centre-Forward,28,Senegal,,,37,14,5,19,€300k
Vincent Janssen,https://www.transfermarkt.com/vincent-janssen/profil/spieler/207015,Centre-Forward,30,Netherlands,,,33,12,7,19,€7.00m
Patrik Svantner,https://www.transfermarkt.com/patrik-svantner/profil/spieler/470782,Centre-Forward,27,Czech Republic,,,36,12,7,19,-
Ashley Fletcher,https://www.transfermarkt.com/ashley-fletcher/profil/spieler/289846,Centre-Forward,28,England,,,44,11,8,19,€350k
Jordy Peffer,https://www.transfermarkt.com/jordy-peffer/profil/spieler/212574,Centre-Forward,27,Belgium,,,32,18,0,18,-
Georgios Manalis,https://www.transfermarkt.com/georgios-manalis/profil/spieler/597931,Centre-Forward,29,Greece,,,23,17,1,18,€400k
Artem Dovbyk,https://www.transfermarkt.com/artem-dovbyk/profil/spieler/343537,Centre-Forward,27,Ukraine,,,34,15,3,18,€30.00m
Joel Pohjanpalo,https://www.transfermarkt.com/joel-pohjanpalo/profil/spieler/173491,Centre-Forward,29,Finland,,,34,15,3,18,€4.50m
Milutin Osmajic,https://www.transfermarkt.com/milutin-osmajic/profil/spieler/542819,Centre-Forward,24,Montenegro,,,41,15,3,18,€2.50m
Mouhamed Belkheir,https://www.transfermarkt.com/mouhamed-belkheir/profil/spieler/394127,Centre-Forward,25,"Algeria, France",,,28,15,3,18,€900k
Marco Tumminello,https://www.transfermarkt.com/marco-tumminello/profil/spieler/315850,Centre-Forward,25,Italy,,,30,15,3,18,€450k
Zian Flemming,https://www.transfermarkt.com/zian-flemming/profil/spieler/411537,Centre-Forward,25,Netherlands,,,37,14,4,18,€6.50m
Alemão,https://www.transfermarkt.com/alemao/profil/spieler/560417,Centre-Forward,26,"Brazil, Poland",,,41,14,4,18,€3.50m
Kenan Karaman,https://www.transfermarkt.com/kenan-karaman/profil/spieler/119557,Centre-Forward,30,"Türkiye, Germany",,,31,14,4,18,€2.50m
Serhat-Semih Güler,https://www.transfermarkt.com/serhat-semih-guler/profil/spieler/385240,Centre-Forward,26,"Germany, Türkiye",,,36,14,4,18,€250k
Lautaro Martínez,https://www.transfermarkt.com/lautaro-martinez/profil/spieler/406625,Centre-Forward,26,Argentina,,,35,13,5,18,€95.00m
Amine Gouiri,https://www.transfermarkt.com/amine-gouiri/profil/spieler/418659,Centre-Forward,24,"Algeria, France",,,34,13,5,18,€30.00m
Dawid Kownacki,https://www.transfermarkt.com/dawid-kownacki/profil/spieler/208167,Centre-Forward,27,Poland,,,29,13,5,18,€2.50m
Claudio Morra,https://www.transfermarkt.com/claudio-morra/profil/spieler/214635,Centre-Forward,29,Italy,,,36,13,5,18,€450k
Pietro Cianci,https://www.transfermarkt.com/pietro-cianci/profil/spieler/285754,Centre-Forward,28,Italy,,,34,12,6,18,€400k
Steven Nsimba,https://www.transfermarkt.com/steven-nsimba/profil/spieler/830113,Centre-Forward,28,"France, DR Congo",,,33,12,6,18,€300k
Tren Drexhage,https://www.transfermarkt.com/tren-drexhage/profil/spieler/693508,Centre-Forward,24,Netherlands,,,37,11,7,18,-
Daniel Hanslik,https://www.transfermarkt.com/daniel-hanslik/profil/spieler/416809,Centre-Forward,27,"Germany, Poland",,,33,8,10,18,€1.20m
Leandro Antunes,https://www.transfermarkt.com/leandro-antunes/profil/spieler/379875,Centre-Forward,26,Portugal,,,35,8,10,18,€800k
Arnold Vula,https://www.transfermarkt.com/arnold-vula/profil/spieler/981444,Centre-Forward,25,DR Congo,,,27,17,0,17,€250k
Petrit Nika,https://www.transfermarkt.com/petrit-nika/profil/spieler/274910,Centre-Forward,30,Kosovo,,,28,17,0,17,-
Moussa Sylla,https://www.transfermarkt.com/moussa-sylla/profil/spieler/460655,Centre-Forward,24,"Mali, France",,,28,16,1,17,€6.00m
Loren Morón,https://www.transfermarkt.com/loren-moron/profil/spieler/354741,Centre-Forward,30,Spain,,,26,16,1,17,€3.00m
Andrea Adorante,https://www.transfermarkt.com/andrea-adorante/profil/spieler/364206,Centre-Forward,24,Italy,,,33,15,2,17,€4.00m
Juan Muñoz,https://www.transfermarkt.com/juan-munoz/profil/spieler/268958,Centre-Forward,28,Spain,,,33,15,2,17,€500k
Anıl Başaran,https://www.transfermarkt.com/anil-basaran/profil/spieler/494667,Centre-Forward,24,Türkiye,,,30,15,2,17,€175k
Ludovic Ajorque,https://www.transfermarkt.com/ludovic-ajorque/profil/spieler/283994,Centre-Forward,30,"France, Réunion",,,35,14,3,17,€4.00m
Dmitriy Vorobyov,https://www.transfermarkt.com/dmitriy-vorobyov/profil/spieler/370287,Centre-Forward,26,Russia,,,39,13,4,17,€3.00m
Pape Meïssa Ba,https://www.transfermarkt.com/pape-meissa-ba/profil/spieler/693637,Centre-Forward,26,Senegal,,,33,13,4,17,€1.50m
Aaron Collins,https://www.transfermarkt.com/aaron-collins/profil/spieler/341042,Centre-Forward,27,Wales,,,49,13,4,17,€1.00m
Thibault Rambaud,https://www.transfermarkt.com/thibault-rambaud/profil/spieler/689146,Centre-Forward,27,France,,,32,13,4,17,€400k
Guido Gomez,https://www.transfermarkt.com/guido-gomez/profil/spieler/183969,Centre-Forward,30,"Italy, Argentina",,,31,13,4,17,€350k
Floris van der Linden,https://www.transfermarkt.com/floris-van-der-linden/profil/spieler/447190,Centre-Forward,28,Netherlands,,,32,13,4,17,-
Evanilson,https://www.transfermarkt.com/evanilson/profil/spieler/711337,Centre-Forward,24,Brazil,,,35,12,5,17,€35.00m
Deniz Undav,https://www.transfermarkt.com/deniz-undav/profil/spieler/339314,Centre-Forward,27,"Germany, Türkiye",,,32,12,5,17,€20.00m
Nikola Krstović,https://www.transfermarkt.com/nikola-krstovic/profil/spieler/434433,Centre-Forward,24,"Montenegro, Serbia",,,38,12,5,17,€15.00m
Mateo Cassierra,https://www.transfermarkt.com/mateo-cassierra/profil/spieler/362667,Centre-Forward,27,Colombia,,,39,12,5,17,€10.00m
Rey Manaj,https://www.transfermarkt.com/rey-manaj/profil/spieler/308278,Centre-Forward,27,"Albania, Italy",,,27,12,5,17,€3.00m
Wilfried Eza,https://www.transfermarkt.com/wilfried-eza/profil/spieler/471373,Centre-Forward,27,Cote d'Ivoire,,,26,12,5,17,€350k
Francesco Salvemini,https://www.transfermarkt.com/francesco-salvemini/profil/spieler/254997,Centre-Forward,27,Italy,,,33,12,5,17,€300k
Martin Zikl,https://www.transfermarkt.com/martin-zikl/profil/spieler/339084,Centre-Forward,25,Czech Republic,,,35,12,5,17,-
Giacomo Parigi,https://www.transfermarkt.com/giacomo-parigi/profil/spieler/254708,Centre-Forward,28,Italy,,,34,11,6,17,€450k
Marcão,https://www.transfermarkt.com/marcao/profil/spieler/476102,Centre-Forward,30,Brazil,,,27,9,8,17,€1.00m
Mario Vucenovic,https://www.transfermarkt.com/mario-vucenovic/profil/spieler/428460,Centre-Forward,24,Austria,,,31,9,8,17,€175k
Muhammet Beşir,https://www.transfermarkt.com/muhammet-besir/profil/spieler/338838,Centre-Forward,27,Türkiye,,,34,16,0,16,€175k
Marcel Holzer,https://www.transfermarkt.com/marcel-holzer/profil/spieler/289053,Centre-Forward,25,Austria,,,29,16,0,16,-
Theodoros Tsirigotis,https://www.transfermarkt.com/theodoros-tsirigotis/profil/spieler/468035,Centre-Forward,24,Greece,,,20,15,1,16,€500k
Martin Sekulic,https://www.transfermarkt.com/martin-sekulic/profil/spieler/614900,Centre-Forward,25,Croatia,,,25,14,2,16,€1.20m
Millenic Alli,https://www.transfermarkt.com/millenic-alli/profil/spieler/916542,Centre-Forward,24,"Ireland, England",,,45,14,2,16,€1.00m
Will Evans,https://www.transfermarkt.com/will-evans/profil/spieler/456835,Centre-Forward,27,Wales,,,44,13,3,16,€350k
Adrian Dabasse,https://www.transfermarkt.com/adrian-dabasse/profil/spieler/198410,Centre-Forward,30,France,,,31,13,3,16,€250k
Tim Waterink,https://www.transfermarkt.com/tim-waterink/profil/spieler/404715,Centre-Forward,27,Netherlands,,,34,13,3,16,-
Cedric Itten,https://www.transfermarkt.com/cedric-itten/profil/spieler/243856,Centre-Forward,27,Switzerland,,,39,12,4,16,€1.50m
Artem Maksimenko,https://www.transfermarkt.com/artem-maksimenko/profil/spieler/310132,Centre-Forward,26,Russia,,,33,12,4,16,€450k
Mathias Oyewusi,https://www.transfermarkt.com/mathias-oyewusi/profil/spieler/607249,Centre-Forward,25,Nigeria,,,29,11,5,16,€400k
Patrick Hobsch,https://www.transfermarkt.com/patrick-hobsch/profil/spieler/236543,Centre-Forward,29,Germany,,,36,11,5,16,€325k
Simon Chwaszcz,https://www.transfermarkt.com/simon-chwaszcz/profil/spieler/300181,Centre-Forward,28,Czech Republic,,,36,11,5,16,-
Hamza Catakovic,https://www.transfermarkt.com/hamza-catakovic/profil/spieler/389306,Centre-Forward,27,Bosnia-Herzegovina,,,34,10,6,16,€600k
Loïc Socka Bongué,https://www.transfermarkt.com/loic-socka-bongue/profil/spieler/800249,Centre-Forward,25,"France, Cameroon",,,36,10,6,16,€200k
Benito Raman,https://www.transfermarkt.com/benito-raman/profil/spieler/112930,Centre-Forward,29,Belgium,,,26,15,0,15,€2.00m
Tobias Pellegrini,https://www.transfermarkt.com/tobias-pellegrini/profil/spieler/186372,Centre-Forward,28,Austria,,,29,15,0,15,-
Nicolas Orye,https://www.transfermarkt.com/nicolas-orye/profil/spieler/419096,Centre-Forward,25,Belgium,,,27,15,0,15,-
Oliver Affenzeller,https://www.transfermarkt.com/oliver-affenzeller/profil/spieler/316855,Centre-Forward,28,Austria,,,26,14,1,15,-
Maximilian Entrup,https://www.transfermarkt.com/maximilian-entrup/profil/spieler/403184,Centre-Forward,26,Austria,,,29,13,2,15,€2.00m
Emeka Eze,https://www.transfermarkt.com/emeka-eze/profil/spieler/498517,Centre-Forward,27,Nigeria,,,32,13,2,15,€650k
Manu Nieto,https://www.transfermarkt.com/manu-nieto/profil/spieler/399357,Centre-Forward,26,Spain,,,38,13,2,15,€500k
Seçim Can Koç,https://www.transfermarkt.com/secim-can-koc/profil/spieler/921098,Centre-Forward,26,Türkiye,,,30,13,2,15,€150k
Matej Votava,https://www.transfermarkt.com/matej-votava/profil/spieler/585820,Centre-Forward,26,Czech Republic,,,31,13,2,15,-
Shuto Machino,https://www.transfermarkt.com/shuto-machino/profil/spieler/550580,Centre-Forward,24,Japan,,,34,12,3,15,€5.00m
Liam Cullen,https://www.transfermarkt.com/liam-cullen/profil/spieler/296978,Centre-Forward,25,Wales,,,45,12,3,15,€3.00m
Urko Izeta,https://www.transfermarkt.com/urko-izeta/profil/spieler/610622,Centre-Forward,24,Spain,,,40,12,3,15,€2.00m
Ryan Hardie,https://www.transfermarkt.com/ryan-hardie/profil/spieler/249063,Centre-Forward,27,Scotland,,,40,12,3,15,€1.80m
Blaz Kramer,https://www.transfermarkt.com/blaz-kramer/profil/spieler/322288,Centre-Forward,28,Slovenia,,,34,12,3,15,€1.10m
Lee Bonis,https://www.transfermarkt.com/lee-bonis/profil/spieler/713479,Centre-Forward,24,Northern Ireland,,,36,12,3,15,€400k
Pablo Fernández,https://www.transfermarkt.com/pablo-fernandez/profil/spieler/368582,Centre-Forward,27,Spain,,,38,12,3,15,€350k
Leon Sipos,https://www.transfermarkt.com/leon-sipos/profil/spieler/425781,Centre-Forward,24,Croatia,,,38,12,3,15,€225k
Dominic Solanke,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889,Centre-Forward,26,"England, Nigeria",,,32,11,4,15,€40.00m
Dušan Vlahović,https://www.transfermarkt.com/dusan-vlahovic/profil/spieler/357498,Centre-Forward,24,Serbia,,,32,11,4,15,€35.00m
Boulaye Dia,https://www.transfermarkt.com/boulaye-dia/profil/spieler/626913,Centre-Forward,27,"Senegal, France",,,37,11,4,15,€15.00m
Jonas Wind,https://www.transfermarkt.com/jonas-wind/profil/spieler/391004,Centre-Forward,25,Denmark,,,35,11,4,15,€12.00m
Gaëtan Laborde,https://www.transfermarkt.com/gaetan-laborde/profil/spieler/181378,Centre-Forward,30,France,,,31,11,4,15,€6.00m
Jon Bautista,https://www.transfermarkt.com/jon-bautista/profil/spieler/289236,Centre-Forward,28,Spain,,,37,11,4,15,€2.20m
George Pușcaș,https://www.transfermarkt.com/george-puscas/profil/spieler/208690,Centre-Forward,28,Romania,,,38,11,4,15,€1.10m
Taty Castellanos,https://www.transfermarkt.com/taty-castellanos/profil/spieler/522784,Centre-Forward,25,Argentina,,,29,10,5,15,€25.00m
Gustaf Nilsson,https://www.transfermarkt.com/gustaf-nilsson/profil/spieler/320440,Centre-Forward,27,Sweden,,,28,10,5,15,€5.00m
Lucas Boyé,https://www.transfermarkt.com/lucas-boye/profil/spieler/334222,Centre-Forward,28,"Argentina, Italy",,,33,10,5,15,€3.50m
Antón Escobar,https://www.transfermarkt.com/anton-escobar/profil/spieler/645318,Centre-Forward,26,Spain,,,36,10,5,15,€400k
Antoñín,https://www.transfermarkt.com/antonin/profil/spieler/610336,Centre-Forward,24,Spain,,,38,10,5,15,€350k
Marco Olivieri,https://www.transfermarkt.com/marco-olivieri/profil/spieler/346562,Centre-Forward,25,Italy,,,26,10,5,15,€300k
Brian Beyer,https://www.transfermarkt.com/brian-beyer/profil/spieler/651360,Centre-Forward,27,France,,,27,10,5,15,€200k
Victor Edvardsen,https://www.transfermarkt.com/victor-edvardsen/profil/spieler/265324,Centre-Forward,28,Sweden,,,38,9,6,15,€1.30m
Patrik Zitka,https://www.transfermarkt.com/patrik-zitka/profil/spieler/709548,Centre-Forward,26,Czech Republic,,,30,7,8,15,-
Dmitriy Lesnikov,https://www.transfermarkt.com/dmitriy-lesnikov/profil/spieler/422597,Centre-Forward,25,Russia,,,37,6,9,15,€300k
Dylan Vente,https://www.transfermarkt.com/dylan-vente/profil/spieler/369319,Centre-Forward,25,"Suriname, Netherlands",,,31,14,0,14,€2.00m
Ilyes Chaïbi,https://www.transfermarkt.com/ilyes-chaibi/profil/spieler/342230,Centre-Forward,27,"France, Algeria",,,31,14,0,14,€200k
Angelo Campos,https://www.transfermarkt.com/angelo-campos/profil/spieler/421821,Centre-Forward,24,Portugal,,,21,14,0,14,€200k
Ozan Papaker,https://www.transfermarkt.com/ozan-papaker/profil/spieler/238218,Centre-Forward,27,Türkiye,,,30,14,0,14,€175k
Zoran Mihailovic,https://www.transfermarkt.com/zoran-mihailovic/profil/spieler/371949,Centre-Forward,28,Serbia,,,29,14,0,14,-
Ilya Rubtsov,https://www.transfermarkt.com/ilya-rubtsov/profil/spieler/383241,Centre-Forward,25,Russia,,,40,13,1,14,€400k
Manu Justo,https://www.transfermarkt.com/manu-justo/profil/spieler/593357,Centre-Forward,28,Spain,,,35,13,1,14,€400k
Javier Carbonell,https://www.transfermarkt.com/javier-carbonell/profil/spieler/1005309,Centre-Forward,27,Spain,,,40,13,1,14,€350k
Josh Maja,https://www.transfermarkt.com/josh-maja/profil/spieler/453824,Centre-Forward,25,"Nigeria, England",,,26,12,2,14,€10.00m
Emil Riis,https://www.transfermarkt.com/emil-riis/profil/spieler/293325,Centre-Forward,26,Denmark,,,50,12,2,14,€4.50m
Fraser Hornby,https://www.transfermarkt.com/fraser-hornby/profil/spieler/388160,Centre-Forward,24,"Scotland, England",,,29,12,2,14,€2.00m
Georgiy Gongadze,https://www.transfermarkt.com/georgiy-gongadze/profil/spieler/525692,Centre-Forward,28,"Russia, Georgia",,,34,12,2,14,€500k
Dominic Baumann,https://www.transfermarkt.com/dominic-baumann/profil/spieler/152431,Centre-Forward,29,Germany,,,34,12,2,14,€350k
Javi Eslava,https://www.transfermarkt.com/javi-eslava/profil/spieler/862686,Centre-Forward,28,Spain,,,32,12,2,14,€300k
Simone Magnaghi,https://www.transfermarkt.com/simone-magnaghi/profil/spieler/136114,Centre-Forward,30,Italy,,,29,12,2,14,€200k
Kai Havertz,https://www.transfermarkt.com/kai-havertz/profil/spieler/309400,Centre-Forward,25,Germany,,,28,11,3,14,€65.00m
Emmanuel Latte Lath,https://www.transfermarkt.com/emmanuel-latte-lath/profil/spieler/392964,Centre-Forward,25,"Cote d'Ivoire, Italy",,,31,11,3,14,€18.00m
Hugo Duro,https://www.transfermarkt.com/hugo-duro/profil/spieler/573775,Centre-Forward,24,Spain,,,32,11,3,14,€14.00m
Tomas Chory,https://www.transfermarkt.com/tomas-chory/profil/spieler/198614,Centre-Forward,29,Czech Republic,,,30,11,3,14,€3.50m
Alexandre Mendy,https://www.transfermarkt.com/alexandre-mendy/profil/spieler/290561,Centre-Forward,30,"Guinea-Bissau, France",,,33,11,3,14,€1.50m
Colby Bishop,https://www.transfermarkt.com/colby-bishop/profil/spieler/307069,Centre-Forward,27,England,,,32,11,3,14,€1.50m
Antonio Di Nardo,https://www.transfermarkt.com/antonio-di-nardo/profil/spieler/347656,Centre-Forward,25,Italy,,,38,11,3,14,€300k
Ché Adams,https://www.transfermarkt.com/che-adams/profil/spieler/346779,Centre-Forward,27,"Scotland, England",,,38,10,4,14,€15.00m
Andi Zeqiri,https://www.transfermarkt.com/andi-zeqiri/profil/spieler/345468,Centre-Forward,25,"Switzerland, Kosovo",,,27,10,4,14,€4.00m
Marius Mouandilmadji,https://www.transfermarkt.com/marius-mouandilmadji/profil/spieler/598399,Centre-Forward,26,Chad,,,34,10,4,14,€3.50m
Jerry Yates,https://www.transfermarkt.com/jerry-yates/profil/spieler/351261,Centre-Forward,27,England,,,42,10,4,14,€2.80m
Egor Golenkov,https://www.transfermarkt.com/egor-golenkov/profil/spieler/449722,Centre-Forward,24,Russia,,,36,10,4,14,€2.50m
Yuki Ohashi,https://www.transfermarkt.com/yuki-ohashi/profil/spieler/592116,Centre-Forward,27,Japan,,,38,10,4,14,€1.80m
Sergio Córdova,https://www.transfermarkt.com/sergio-cordova/profil/spieler/377387,Centre-Forward,26,Venezuela,,,38,10,4,14,€1.70m
Louis Mafouta,https://www.transfermarkt.com/louis-mafouta/profil/spieler/461790,Centre-Forward,29,"Central African Republic, France",,,34,10,4,14,€1.50m
Henk Veerman,https://www.transfermarkt.com/henk-veerman/profil/spieler/271743,Centre-Forward,33,Netherlands,,,37,26,10,36,€350k
Robert Lewandowski,https://www.transfermarkt.com/robert-lewandowski/profil/spieler/38253,Centre-Forward,35,Poland,,,39,31,3,34,€12.00m
Marek Cervenka,https://www.transfermarkt.com/marek-cervenka/profil/spieler/199141,Centre-Forward,31,Czech Republic,,,31,24,7,31,-
Ante Budimir,https://www.transfermarkt.com/ante-budimir/profil/spieler/46413,Centre-Forward,32,Croatia,,,42,24,4,28,€5.00m
Luuk de Jong,https://www.transfermarkt.com/luuk-de-jong/profil/spieler/72522,Centre-Forward,33,Netherlands,,,35,16,11,27,€2.50m
Robert Mühren,https://www.transfermarkt.com/robert-muhren/profil/spieler/186763,Centre-Forward,35,Netherlands,,,36,18,8,26,€250k
Romelu Lukaku,https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341,Centre-Forward,31,"Belgium, DR Congo",,,38,14,11,25,€22.00m
Yasin Öztekin,https://www.transfermarkt.com/yasin-oztekin/profil/spieler/31867,Centre-Forward,37,"Türkiye, Germany",,,35,21,3,24,-
Philipp Hosiner,https://www.transfermarkt.com/philipp-hosiner/profil/spieler/37788,Centre-Forward,35,Austria,,,28,21,3,24,-
Chris Wood,https://www.transfermarkt.com/chris-wood/profil/spieler/108725,Centre-Forward,32,New Zealand,,,40,20,3,23,€10.00m
Ayoub El Kaabi,https://www.transfermarkt.com/ayoub-el-kaabi/profil/spieler/521127,Centre-Forward,31,Morocco,,,31,17,6,23,€5.00m
Timmy Thiele,https://www.transfermarkt.com/timmy-thiele/profil/spieler/95354,Centre-Forward,32,Germany,,,33,15,8,23,€225k
Marco Paixão,https://www.transfermarkt.com/marco-paixao/profil/spieler/71662,Centre-Forward,39,Portugal,,,37,17,5,22,€50k
Deni Alar,https://www.transfermarkt.com/deni-alar/profil/spieler/42004,Centre-Forward,34,Austria,,,26,15,7,22,€200k
Matty Godden,https://www.transfermarkt.com/matty-godden/profil/spieler/145553,Centre-Forward,32,England,,,44,20,1,21,€250k
Fahd El Khoumisti,https://www.transfermarkt.com/fahd-el-khoumisti/profil/spieler/589689,Centre-Forward,31,"France, Morocco",,,28,19,2,21,€300k
Ciro Immobile,https://www.transfermarkt.com/ciro-immobile/profil/spieler/105521,Centre-Forward,34,Italy,,,33,17,4,21,€2.20m
Mame Diouf,https://www.transfermarkt.com/mame-diouf/profil/spieler/62049,Centre-Forward,36,Senegal,,,29,17,4,21,€50k
Okan Eken,https://www.transfermarkt.com/okan-eken/profil/spieler/338195,Centre-Forward,31,Türkiye,,,31,19,1,20,€175k
Tomas Necid,https://www.transfermarkt.com/tomas-necid/profil/spieler/39665,Centre-Forward,34,Czech Republic,,,23,17,3,20,€75k
