name,player_link,position,age,nation,club,league,matches,goals,assists,points(goals+assists),value
Raymond Asante,https://www.transfermarkt.com/raymond-asante/profil/spieler/1051609,Second Striker,20,Ghana,,,14,2,0,2,€200k
Yannic Fötschl,https://www.transfermarkt.com/yannic-fotschl/profil/spieler/805777,Second Striker,21,Austria,,,14,2,0,2,€125k
Gabriel Avinci,https://www.transfermarkt.com/gabriel-avinci/profil/spieler/1291073,Second Striker,20,Italy,,,17,2,0,2,€50k
Martin Zizka,https://www.transfermarkt.com/martin-zizka/profil/spieler/469278,Second Striker,24,Czech Republic,,,27,2,0,2,-
Soulaimane Berradi,https://www.transfermarkt.com/soulaimane-berradi/profil/spieler/975716,Second Striker,19,"Belgium, Morocco",,,21,2,0,2,-
Peque Fernández,https://www.transfermarkt.com/peque-fernandez/profil/spieler/639733,Second Striker,21,Spain,,,29,1,1,2,€3.50m
Stoichkov,https://www.transfermarkt.com/stoichkov/profil/spieler/271021,Second Striker,30,Spain,,,31,1,1,2,€1.50m
Iker Losada,https://www.transfermarkt.com/iker-losada/profil/spieler/632741,Second Striker,22,Spain,,,25,1,1,2,€1.50m
Nicolò Buso,https://www.transfermarkt.com/nicolo-buso/profil/spieler/408293,Second Striker,24,Italy,,,16,1,1,2,€400k
Benjamin Faraas,https://www.transfermarkt.com/benjamin-faraas/profil/spieler/918494,Second Striker,18,Norway,,,16,1,1,2,€350k
Manu Vallejo,https://www.transfermarkt.com/manu-vallejo/profil/spieler/527350,Second Striker,27,Spain,,,9,1,1,2,€300k
Ernesto Starita,https://www.transfermarkt.com/ernesto-starita/profil/spieler/288061,Second Striker,28,Italy,,,30,1,1,2,€250k
Riccardo Martignago,https://www.transfermarkt.com/riccardo-martignago/profil/spieler/148956,Second Striker,32,Italy,,,24,1,1,2,€50k
Libor Bobcik,https://www.transfermarkt.com/libor-bobcik/profil/spieler/668332,Second Striker,21,Czech Republic,,,15,1,1,2,-
Martin Souhrada,https://www.transfermarkt.com/martin-souhrada/profil/spieler/1047310,Second Striker,19,Czech Republic,,,22,1,1,2,-
Lorenzo Sgarbi,https://www.transfermarkt.com/lorenzo-sgarbi/profil/spieler/535797,Second Striker,23,Italy,,,17,0,2,2,€400k
Juan Nazarit,https://www.transfermarkt.com/juan-nazarit/profil/spieler/968291,Second Striker,21,Colombia,,,7,0,2,2,-
Lorenzo Anghelè,https://www.transfermarkt.com/lorenzo-anghele/profil/spieler/925848,Second Striker,19,Italy,,,14,1,0,1,€700k
Adam Boayar,https://www.transfermarkt.com/adam-boayar/profil/spieler/1064506,Second Striker,18,"Morocco, Spain",,,3,1,0,1,€500k
Fabio Morselli,https://www.transfermarkt.com/fabio-morselli/profil/spieler/347885,Second Striker,26,Italy,,,12,1,0,1,€150k
